City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
52,Saint-Joseph,RE,79.18,few clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
54,Avarua,CK,73.45,overcast clouds,-21.2078,-159.775,Paradise Inn
55,Hobart,AU,64.22,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
56,Wanning,CN,79.03,overcast clouds,18.8003,110.3967,Paradise Hotel
58,San Vicente,AR,59.72,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
60,Xinpu,CN,70.92,overcast clouds,34.5997,119.1594,Pattaya Leisure Hotel
61,Bend,US,30.45,clear sky,44.0582,-121.3153,Fairfield Inn & Suites by Marriott Bend Downtown
62,Faanui,PF,78.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
63,Hatillo,PR,78.08,scattered clouds,18.4863,-66.8254,El Buen Hotel
65,Tasiilaq,GL,35.76,overcast clouds,65.6145,-37.6368,The Red House
66,Penzance,GB,57.88,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
67,Palmer,US,57.61,clear sky,42.1584,-72.3287,Wedgewood Motel
68,Panaba,MX,70.29,broken clouds,21.2833,-88.2667,Hotel Don Fernando
69,Caravelas,BR,73.83,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
70,Mar Del Plata,AR,61.88,fog,-38.0023,-57.5575,Gran Hotel Mar del Plata
71,Atuona,PF,77.79,light rain,-9.8,-139.0333,Villa Enata
74,Darab,IR,71.62,overcast clouds,28.7519,54.5444,Naghshe shapoor Hotel
76,Arraial Do Cabo,BR,70.56,few clouds,-22.9661,-42.0278,Pousada Porto Praia
77,Bredasdorp,ZA,65.48,clear sky,-34.5322,20.0403,Bredasdorp Country Manor
78,Nueva Concepcion,GT,71.76,clear sky,14.2,-91.3,Hotel Villa Las Flores
79,Bloomingdale,US,74.01,overcast clouds,27.8936,-82.2404,Travel Club for Free
81,Sabha,LY,60.73,clear sky,27.0377,14.4283,محطة ام الارانب -سبها مواصلات
82,Kaitangata,NZ,62.1,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
84,Gat,IL,70.39,clear sky,31.61,34.7642,OlusHome
85,San Patricio,US,78.66,few clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
86,Esperance,AU,60.04,overcast clouds,-33.8667,121.9,Hospitality Esperance
87,Hermanus,ZA,64.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
88,Cabo San Lucas,MX,75.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
89,Wynyard,AU,66.47,overcast clouds,-41.0,145.7167,Burnie Airport Motel
90,Rocha,UY,56.75,broken clouds,-34.4833,-54.3333,Hotel Arrarte
92,Talcahuano,CL,55.08,broken clouds,-36.7167,-73.1167,departamento comodo
95,Lagoa,PT,60.33,scattered clouds,39.05,-27.9833,Casa Das Faias
96,Te Anau,NZ,70.56,broken clouds,-45.4167,167.7167,Kingsgate Hotel Te Anau
99,East London,ZA,68.23,light rain,-33.0153,27.9116,Tu Casa
100,Makakilo City,US,75.56,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
102,Richards Bay,ZA,73.71,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
103,Hilo,US,71.33,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
105,Mount Gambier,AU,61.56,overcast clouds,-37.8333,140.7667,The Commodore
106,Basse-Pointe,MQ,79.84,overcast clouds,14.8695,-61.115,Residence HYBRIDES
107,Sao Filipe,CV,76.5,overcast clouds,14.8961,-24.4956,Hotel Xaguate
108,Vaini,TO,78.22,light rain,-21.2,-175.2,Keleti Beach Resort
109,Eseka,CM,71.17,overcast clouds,3.65,10.7667,Complexe Hotelier Ndjiki Mpeck Eseka II
110,Wairoa,NZ,60.55,moderate rain,-39.0333,177.3667,Riverside Motor Camp
111,Mayo,US,62.55,clear sky,38.8876,-76.5119,Resorts Resource Group International
114,Tuatapere,NZ,61.05,few clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
115,Pitsunda,GE,50.18,scattered clouds,43.1592,40.3378,Hotel FREEDOM
118,Alvand,IR,44.82,scattered clouds,36.3187,49.1678,مسجد صاحب زمان
120,San Juan,AR,65.66,broken clouds,-31.5375,-68.5364,Hotel Provincial
122,Bilma,NE,67.86,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
127,Portland,US,43.52,few clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
129,Kurilsk,RU,39.94,overcast clouds,45.2333,147.8833,Hotel Ostrov
130,Ruteng,ID,71.65,moderate rain,-8.6136,120.4721,Hotel FX 72
131,Feijo,BR,71.55,heavy intensity rain,-8.1642,-70.3536,Hotel e Restaurante Aҫai
132,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
133,Margate,GB,57.9,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
134,Senneterre,CA,32.65,light snow,48.3835,-77.2328,Motel Senabi
136,Eureka,US,40.93,overcast clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
138,Klaksvik,FO,50.92,overcast clouds,62.2266,-6.589,Airbnb rooms
139,Castro,BR,57.38,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
140,Hofn,IS,43.32,overcast clouds,64.2539,-15.2082,Hótel Höfn
141,Katsuura,JP,68.92,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
144,Cayenne,GF,73.44,mist,4.9333,-52.3333,Hôtel Le Dronmi
145,Ribeira Grande,PT,57.78,broken clouds,38.5167,-28.7,Quinta da Meia Eira
146,Dalnerechensk,RU,41.0,light rain,45.9339,133.7225,"Royal Cafe, Bar, Hotel"
148,Turayf,SA,61.93,clear sky,31.6725,38.6637,Turaif
149,Bethel,US,56.62,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
150,Laguna,US,47.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
152,Staunton,US,57.16,overcast clouds,38.1496,-79.0717,Hotel 24 South
153,General Roca,AR,66.85,overcast clouds,-39.0333,-67.5833,Hotel El Recreo
154,Beitbridge,ZW,71.17,light rain,-22.2167,30.0,Beitbridge Express Hotel
155,Machali,CL,50.63,broken clouds,-34.1833,-70.6667,Mining House
156,Sitka,US,35.55,light rain,57.0531,-135.33,Westmark Sitka
157,Ankang,CN,69.76,broken clouds,32.68,109.0172,安琪酒店
