City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
193,Shieli,KZ,44.1667,66.75,41.74,57,43,4.0,scattered clouds
194,Dali,CN,25.7,100.1833,68.09,29,7,6.15,clear sky
195,Sao Roque,BR,-23.5292,-47.1353,66.36,92,35,6.91,scattered clouds
196,Teluk Nibung,ID,3.001,99.8164,82.6,72,100,10.38,overcast clouds
197,Riohacha,CO,11.5444,-72.9072,75.9,90,92,4.7,overcast clouds
198,Espinosa,BR,-14.9261,-42.8192,68.0,89,35,3.76,scattered clouds
199,Half Moon Bay,US,37.4636,-122.4286,52.61,82,0,6.91,clear sky
200,Marquette,US,46.5333,-87.6335,42.24,95,100,10.18,overcast clouds
201,Broken Hill,AU,-31.95,141.4333,85.41,28,39,6.8,scattered clouds
202,Isla Mujeres,MX,21.2311,-86.731,73.45,72,1,2.21,clear sky
203,Yar-Sale,RU,66.8333,70.8333,7.16,97,95,7.36,overcast clouds
204,Walvis Bay,NA,-22.9575,14.5053,58.08,80,0,3.98,clear sky
205,Chake Chake,TZ,-5.2459,39.7666,81.27,74,51,4.14,light rain
206,Shellbrook,CA,53.2168,-106.4011,-2.04,95,100,5.17,overcast clouds
207,Egvekinot,RU,66.3167,-179.1667,-2.97,93,34,6.69,scattered clouds
208,Bay Roberts,CA,47.5999,-53.2648,42.51,88,97,1.99,light rain
209,Hasaki,JP,35.7333,140.8333,68.4,63,5,14.92,clear sky
210,Flinders,AU,-34.5833,150.8552,74.17,69,100,4.0,overcast clouds
211,Ewa Beach,US,21.3156,-158.0072,76.98,66,0,6.91,clear sky
212,Srednekolymsk,RU,67.45,153.6833,-12.69,100,99,3.29,overcast clouds
213,Mizdah,LY,31.4451,12.9801,53.82,96,1,4.38,clear sky
214,Ibra,OM,22.6906,58.5334,81.95,35,3,3.15,clear sky
215,Port-Gentil,GA,-0.7193,8.7815,76.08,83,100,8.37,overcast clouds
216,Yuryevets,RU,57.3201,43.1041,43.07,95,100,11.99,moderate rain
217,Chipinge,ZW,-20.1883,32.6236,67.8,82,100,2.46,overcast clouds
218,Pareora,NZ,-44.4871,171.2132,59.18,79,87,18.37,overcast clouds
219,Nago,JP,26.5881,127.9761,81.03,86,96,13.69,overcast clouds
220,Leningradskiy,RU,69.3833,178.4167,6.94,96,100,7.56,light snow
221,Dayong,CN,25.0209,118.2898,89.65,40,0,2.35,clear sky
222,Kavieng,PG,-2.5744,150.7967,79.36,88,99,15.82,heavy intensity rain
223,Maniitsoq,GL,65.4167,-52.9,20.91,55,100,4.61,overcast clouds
224,Ballina,AU,-28.8667,153.5667,75.78,65,40,14.23,scattered clouds
225,Marawi,PH,7.9986,124.2928,76.95,79,86,2.86,overcast clouds
226,Havelock,US,34.8791,-76.9013,75.18,92,100,12.66,overcast clouds
227,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,20.71,scattered clouds
228,Ponta Do Sol,PT,32.6667,-17.1,66.7,81,56,1.97,broken clouds
229,Nizhniy Odes,RU,63.6445,54.856,22.14,97,79,6.15,broken clouds
230,Novoye Leushino,RU,56.8073,40.5144,43.21,95,100,8.59,light rain
231,Souillac,MU,-20.5167,57.5167,77.65,65,15,8.72,few clouds
232,Pisco,PE,-13.7,-76.2167,61.02,88,1,8.05,mist
233,Lebu,CL,-37.6167,-73.65,53.71,96,100,6.62,overcast clouds
234,Kyra,RU,49.5776,111.9753,28.99,38,36,10.07,scattered clouds
235,Polson,US,47.6936,-114.1632,10.38,96,59,2.06,broken clouds
236,Longhua,CN,23.6137,114.1919,89.22,42,1,2.42,clear sky
237,Villazon,BO,-22.0866,-65.5942,44.46,64,30,2.53,scattered clouds
238,Bengkulu,ID,-3.8004,102.2655,80.15,83,90,7.23,overcast clouds
239,Sotouboua,TG,8.5667,0.9833,72.64,75,63,1.99,broken clouds
240,Yerofey Pavlovich,RU,53.9667,121.9667,22.05,64,95,3.22,overcast clouds
241,Jadu,LY,31.953,12.0261,51.73,79,12,7.81,few clouds
242,Mahebourg,MU,-20.4081,57.7,81.25,68,24,7.87,few clouds
243,Santa Rosa,PH,14.3122,121.1114,88.11,74,96,12.57,overcast clouds
244,Imbituba,BR,-28.24,-48.6703,61.88,87,100,3.33,overcast clouds
245,Neijiang,CN,29.5835,105.0622,71.8,68,84,2.48,broken clouds
246,Dahuk,IQ,36.8695,42.994,60.35,53,47,3.36,scattered clouds
247,Baker,US,30.5882,-91.1682,58.82,82,0,0.0,clear sky
248,Bandarbeyla,SO,9.4942,50.8122,82.47,60,46,17.47,scattered clouds
249,Hambantota,LK,6.1241,81.1185,84.54,84,40,5.75,scattered clouds
250,Diffa,NE,13.3154,12.6113,73.42,35,50,8.97,scattered clouds
251,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,77.68,53,4,5.61,clear sky
252,Acapulco,MX,16.8634,-99.8901,78.62,89,20,4.61,light rain
